BC_tmp = 0, 13*tw_diff = 0, factor_diff_13t  = 1
BC_tmp = 1, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 3, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 2, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 6, 13*tw_diff = 52, factor_diff_13t  = 3260171394465825874
BC_tmp = 7, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 5, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 4, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 12, 13*tw_diff = 104, factor_diff_13t  = 8049782023765701561
BC_tmp = 13, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 15, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 14, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 10, 13*tw_diff = -52, factor_diff_13t  = 4619234339894857498
BC_tmp = 11, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 9, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 8, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 24, 13*tw_diff = 208, factor_diff_13t  = 7847524879092096009
BC_tmp = 25, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 27, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 26, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 30, 13*tw_diff = 52, factor_diff_13t  = 3260171394465825874
BC_tmp = 31, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 29, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 28, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 20, 13*tw_diff = -104, factor_diff_13t  = 18208673802235871171
BC_tmp = 21, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 23, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 22, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 18, 13*tw_diff = -52, factor_diff_13t  = 4619234339894857498
BC_tmp = 19, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 17, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 16, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 48, 13*tw_diff = 416, factor_diff_13t  = 13787254465881465880
BC_tmp = 49, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 51, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 50, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 54, 13*tw_diff = 52, factor_diff_13t  = 3260171394465825874
BC_tmp = 55, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 53, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 52, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 60, 13*tw_diff = 104, factor_diff_13t  = 8049782023765701561
BC_tmp = 61, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 63, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 62, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 58, 13*tw_diff = -52, factor_diff_13t  = 4619234339894857498
BC_tmp = 59, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 57, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 56, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 40, 13*tw_diff = -208, factor_diff_13t  = 4156731661302306550
BC_tmp = 41, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 43, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 42, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 46, 13*tw_diff = 52, factor_diff_13t  = 3260171394465825874
BC_tmp = 47, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 45, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 44, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 36, 13*tw_diff = -104, factor_diff_13t  = 18208673802235871171
BC_tmp = 37, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 39, 13*tw_diff = 26, factor_diff_13t  = 17572224462131996077
BC_tmp = 38, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
BC_tmp = 34, 13*tw_diff = -52, factor_diff_13t  = 4619234339894857498
BC_tmp = 35, 13*tw_diff = 13, factor_diff_13t  = 8487349938101489318
BC_tmp = 33, 13*tw_diff = -26, factor_diff_13t  = 5546020403660220517
BC_tmp = 32, 13*tw_diff = -13, factor_diff_13t  = 13284953271058402611
