BC_tmp = 0, 5*tw_diff = 0, factor_diff_5t  = 1
BC_tmp = 1, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 3, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 2, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 6, 5*tw_diff = 20, factor_diff_5t  = 10881114917016671572
BC_tmp = 7, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 5, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 4, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 12, 5*tw_diff = 40, factor_diff_5t  = 7725134980519083461
BC_tmp = 13, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 15, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 14, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 10, 5*tw_diff = -20, factor_diff_5t  = 453878597269088950
BC_tmp = 11, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 9, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 8, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 24, 5*tw_diff = 80, factor_diff_5t  = 11731715020642418612
BC_tmp = 25, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 27, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 26, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 30, 5*tw_diff = 20, factor_diff_5t  = 10881114917016671572
BC_tmp = 31, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 29, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 28, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 20, 5*tw_diff = -40, factor_diff_5t  = 10450604126597135527
BC_tmp = 21, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 23, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 22, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 18, 5*tw_diff = -20, factor_diff_5t  = 453878597269088950
BC_tmp = 19, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 17, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 16, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 48, 5*tw_diff = 160, factor_diff_5t  = 15122929597976639421
BC_tmp = 49, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 51, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 50, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 54, 5*tw_diff = 20, factor_diff_5t  = 10881114917016671572
BC_tmp = 55, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 53, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 52, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 60, 5*tw_diff = 40, factor_diff_5t  = 7725134980519083461
BC_tmp = 61, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 63, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 62, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 58, 5*tw_diff = -20, factor_diff_5t  = 453878597269088950
BC_tmp = 59, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 57, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 56, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 40, 5*tw_diff = -80, factor_diff_5t  = 16905094363786184290
BC_tmp = 41, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 43, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 42, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 46, 5*tw_diff = 20, factor_diff_5t  = 10881114917016671572
BC_tmp = 47, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 45, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 44, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 36, 5*tw_diff = -40, factor_diff_5t  = 10450604126597135527
BC_tmp = 37, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 39, 5*tw_diff = 10, factor_diff_5t  = 638849890512999907
BC_tmp = 38, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
BC_tmp = 34, 5*tw_diff = -20, factor_diff_5t  = 453878597269088950
BC_tmp = 35, 5*tw_diff = 5, factor_diff_5t  = 2676548733418181014
BC_tmp = 33, 5*tw_diff = -10, factor_diff_5t  = 17738676007726690413
BC_tmp = 32, 5*tw_diff = -5, factor_diff_5t  = 2642934261869995837
